# table	grantee	privileges
payroll_employee_deductions	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
payroll_employee_deductions	service_role	REFERENCES,TRIGGER,TRUNCATE
payroll_india_salary_structure	anon	REFERENCES,TRIGGER,TRUNCATE
payroll_india_salary_structure	app_user	DELETE,INSERT,SELECT,UPDATE
payroll_india_salary_structure	authenticated	REFERENCES,TRIGGER,TRUNCATE
payroll_india_salary_structure	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
payroll_india_salary_structure	service_role	REFERENCES,TRIGGER,TRUNCATE
payroll_india_tax_declarations	anon	REFERENCES,TRIGGER,TRUNCATE
payroll_india_tax_declarations	app_user	DELETE,INSERT,SELECT,UPDATE
payroll_india_tax_declarations	authenticated	REFERENCES,TRIGGER,TRUNCATE
payroll_india_tax_declarations	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
payroll_india_tax_declarations	service_role	REFERENCES,TRIGGER,TRUNCATE
payroll_pay_schedules	anon	REFERENCES,TRIGGER,TRUNCATE
payroll_pay_schedules	app_user	DELETE,INSERT,SELECT,UPDATE
payroll_pay_schedules	authenticated	REFERENCES,TRIGGER,TRUNCATE
payroll_pay_schedules	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
payroll_pay_schedules	service_role	REFERENCES,TRIGGER,TRUNCATE
payroll_run_employees	anon	REFERENCES,TRIGGER,TRUNCATE
payroll_run_employees	app_user	DELETE,INSERT,SELECT,UPDATE
payroll_run_employees	authenticated	REFERENCES,TRIGGER,TRUNCATE
payroll_run_employees	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
payroll_run_employees	service_role	REFERENCES,TRIGGER,TRUNCATE
payroll_runs	anon	REFERENCES,TRIGGER,TRUNCATE
payroll_runs	app_user	DELETE,INSERT,SELECT,UPDATE
payroll_runs	authenticated	REFERENCES,TRIGGER,TRUNCATE
payroll_runs	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
payroll_runs	service_role	REFERENCES,TRIGGER,TRUNCATE
payroll_tax_deposits	anon	REFERENCES,TRIGGER,TRUNCATE
payroll_tax_deposits	app_user	DELETE,INSERT,SELECT,UPDATE
payroll_tax_deposits	authenticated	REFERENCES,TRIGGER,TRUNCATE
payroll_tax_deposits	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
payroll_tax_deposits	service_role	REFERENCES,TRIGGER,TRUNCATE
payroll_tax_rates	anon	REFERENCES,TRIGGER,TRUNCATE
payroll_tax_rates	app_user	DELETE,INSERT,SELECT,UPDATE
payroll_tax_rates	authenticated	REFERENCES,TRIGGER,TRUNCATE
payroll_tax_rates	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
payroll_tax_rates	service_role	REFERENCES,TRIGGER,TRUNCATE
payroll_tax_withholding_certificates	anon	REFERENCES,TRIGGER,TRUNCATE
