# table	constraint	type	definition
hr_employment_history	hr_employment_history_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
hr_feedback	hr_feedback_anonymous_is_not_manager_only	c	CHECK ((NOT (is_anonymous AND (visibility = 'manager_only'::text))))
hr_feedback	hr_feedback_pkey	p	PRIMARY KEY (id)
hr_feedback	hr_feedback_tenant_id_feedback_id_key	u	UNIQUE (tenant_id, feedback_id)
hr_feedback	hr_feedback_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
hr_feedback	hr_feedback_visibility_is_known	c	CHECK ((visibility = ANY (ARRAY['private'::text, 'manager_only'::text, 'public'::text])))
hr_goals	hr_goals_measurement_type_check	c	CHECK ((measurement_type = ANY (ARRAY['percentage'::text, 'numeric'::text, 'boolean'::text, 'milestone'::text])))
hr_goals	hr_goals_pkey	p	PRIMARY KEY (id)
hr_goals	hr_goals_status_check	c	CHECK ((status = ANY (ARRAY['draft'::text, 'active'::text, 'achieved'::text, 'missed'::text, 'cancelled'::text])))
hr_goals	hr_goals_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
hr_onboarding_tasks	hr_onboarding_tasks_pkey	p	PRIMARY KEY (id)
hr_onboarding_tasks	hr_onboarding_tasks_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
hr_onboarding_tasks	hr_onboarding_tasks_tenant_id_task_id_key	u	UNIQUE (tenant_id, task_id)
hr_onboarding_template_tasks	fk_hott_template	f	FOREIGN KEY (template_id) REFERENCES hr_onboarding_templates(id) ON DELETE CASCADE
hr_onboarding_template_tasks	hr_onboarding_template_tasks_assignee_role_check	c	CHECK ((assignee_role = ANY (ARRAY['employee'::text, 'hr'::text, 'manager'::text, 'buddy'::text, 'it'::text, 'facilities'::text])))
hr_onboarding_template_tasks	hr_onboarding_template_tasks_phase_check	c	CHECK ((phase = ANY (ARRAY['pre_boarding'::text, 'first_day'::text, 'first_week'::text, 'first_30_days'::text, 'first_60_days'::text, 'first_90_days'::text])))
hr_onboarding_template_tasks	hr_onboarding_template_tasks_pkey	p	PRIMARY KEY (id)
hr_onboarding_template_tasks	hr_onboarding_template_tasks_task_type_check	c	CHECK ((task_type = ANY (ARRAY['document_upload'::text, 'form_completion'::text, 'training'::text, 'meeting'::text, 'equipment_request'::text, 'e_signature'::text, 'i9_verification'::text, 'policy_acknowledgment'::text, 'other'::text])))
hr_onboarding_template_tasks	hr_onboarding_template_tasks_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
